created_at,id,text,province
Fri Nov 02 16:03:15 +0800 2018,4301939623611128,"""金庸先生去世，感觉自己武功尽失。""",51
Fri Nov 02 14:40:25 +0800 2018,4301918777697140,"""🙏🙏🙏""",12
Fri Nov 02 14:33:12 +0800 2018,4301916961790939,"""他强由他强，清风拂山岗。他横由他横，明月照大江！""",13
Fri Nov 02 14:10:55 +0800 2018,4301911353957793,"""泰谷千古""",53
Fri Nov 02 14:04:15 +0800 2018,4301909676489541,"""@王王乐杨:你走了，心里那种少年情好像空落落的""",100
Fri Nov 02 13:13:07 +0800 2018,4301896808328215,"""在下肖峰，小可段誉，小僧虚竹，贫道王重阳，老叫花洪七，桃花岛黄固，白驼山庄欧阳锋，贫僧段智兴，在下郭靖，小女子黄蓉，在下杨过，峨眉郭襄，武当张君宝，明教张无忌，金蛇传人袁承志，侠客岛石破天，雪山胡斐，华山令狐冲，在下风清扬，在下独孤求败，在下陈近南，在下韦小宝....众书灵恭送金老。""",45
Fri Nov 02 12:04:30 +0800 2018,4301879544818439,"""飞雪连天射白鹿，笑书神侠倚碧鸳""",51
Fri Nov 02 11:44:41 +0800 2018,4301874553317487,"""哀悼""",43
Fri Nov 02 11:25:31 +0800 2018,4301869729533956,"""你来的踏雪无痕，走的悄然无声。你已离开，而我还未做好准备！金先生走好""",53
Fri Nov 02 09:07:40 +0800 2018,4301835033938017,"""@点芸若-值譒AA視頻 的表态:📢 📢 要记住  不论是对孩子也好，对长辈也好，如果你孝顺长辈、敬老爱幼，将来你的孩子也会孝顺你，这就叫报应。  ‼️ ‼️ ‼️ 这叫人间报应。很多人以为报应是死了以后才有的，其实活着的时候就已经开始现世报了。   你们看看马路边上那些躺着要饭的人，身上肮脏的样子，这不是现世报吗？""",81
Fri Nov 02 06:41:50 +0800 2018,4301798342515862,"""伟人""",37
Thu Nov 01 21:55:24 +0800 2018,4301665857401953,"""一路走好""",44
Thu Nov 01 15:44:38 +0800 2018,4301572551175088,"""闻名知人:金庸一一金光万丈飞平庸!!!""",37
Thu Nov 01 13:41:00 +0800 2018,4301541432736234,"""支持你[兔子]""",400
Thu Nov 01 12:10:36 +0800 2018,4301518687539648,"""先生一路走好""",33
Thu Nov 01 12:09:24 +0800 2018,4301518386118513,"""熟知的李咏和金庸出现在新闻上，没想到都是离世。一路走好""",44
Thu Nov 01 11:45:36 +0800 2018,4301512395962269,"""江湖再无金大侠，走好[蜡烛]""",100
Thu Nov 01 11:35:39 +0800 2018,4301509896259060,"""走好""",100
Thu Nov 01 11:14:44 +0800 2018,4301504628789199,"""一路走好""",44
Thu Nov 01 11:07:56 +0800 2018,4301502921659531,"""没有金庸，便不知道有“侠”字！""",44
Thu Nov 01 10:39:44 +0800 2018,4301495820688809,"""金庸去世，才知道那么多影视界演员吃过他这口饭。可谓是半壁江山了[蜡烛]""",33
Thu Nov 01 10:26:32 +0800 2018,4301492497984784,"""走好""",22
Thu Nov 01 10:25:35 +0800 2018,4301492259200297,"""金庸去世，2018也许是一个时代的结束，飞雪连天射白鹿，笑书神侠倚碧鸳。慢慢的，我们记忆中的人物都在退场[伤心]""",100
Thu Nov 01 10:09:33 +0800 2018,4301488228160349,"""江湖再见""",100
Thu Nov 01 09:36:35 +0800 2018,4301479928102628,"""@saw汤:我家只会生老病死，而你家可能从来不死人[攤手]""",400
